product_id,receipt_text
101,PERE TRAPPISTES CHOCOLAT
102,TARTINADE DE BLEUETS
102,TARTINADE FRAISES ET
103,FAVUZZI CHOCOLAT NOISETTES
104,noix DE LUXE AU SIROP
105,VINAIGRETTE AU MIEL 250ML
100,CHOCOLAT ENROBE AUX FRUITS
100,CHOCOLAT ENROBE ERABLE
100,ENROBE VANILLE
100,CHOCOLAT ENROBE GUIMAUVE
100,CHOCOLAT noix COCO
99,Cookie
107,Sourdough Bagels
108,Seasonal Soup
109,Mac & Cheese
110,Cupcakes
111,GF DES
87,RAw CASHEWS
72,NP CER MESA
114,QUFA TC SALTED
72,NP CEREAL MESA
72,NP MS SNRSE W/RS
39,GRANOLA CHANVRE MIEL
39,GRANOLA
115,TRKY RST
67,NATP KOALA CRISP CEREAL
77,KINN ENGLISH MUFFIN TAPIOCA
87,PRANA CASHEWS
22,FODY TOMATO BASIL SAUCE
57,ANN RICE PASTA & WHITE CHEDDA
43,PURGUM SPEARMINT GUM BAG
69,SCHAR GF ENTERTAINMENT CRACKE
1,ANN RICE PASTA
43,PURGUM CINNAMON GUM BAG
64,Cnkn Nuygets Eatwel 1
98,Doughnut
99,Shortbread Hearts
99,Shortbread Cookies
98,Brownie Bombs
116,NAPA GRL CNT CHW
59,GF Hot DOG BUNS
65,GF BRIOCHE HAM
1,GF RICE PaST
1,GF Pasta
61,Handcrafted Sourdoug
118,Yellow Tortillas
58,Eco Pack Cer
87,PRANA CASHEVS
82,NATP WAFFLES GF HOMESTYLE
119,BOB WHOLE GROUND FLAXSEED MEA
47,SNYDER'S GF PRETZEL STICKS
114,QUE ORG TORTILLAS
92,SCHAR GF CIABATTA BUNS
56,Flour Brain Rice
21,FODY SALSA MEDIUM 450ML
120,NATP FRUIT JUICE CORN FLAKES
47,SNYDER'S GF MINI PRETZELS
53,Purest Tapioca Flour
121,Large Gluten Free
64,Chicken Brst Fillets
64,Breast Strp EatWel
1,ANNS RC WHT CH
36,MADE GOOD GRAN
36,MG MIXED BERRY
122,CHPS LULLY CHOC
72,Np CER MESA
65,GF CIABATTA ROll
74,SCHR HOTDOG ROLL
