id,name,product_name
1,BBQ Sauce,Kraft BBQ Sauce
2,Beans,Canned black beans
3,Bouillon cubes,Knorr Chicken Bouillon
4,Candy,Maynards Swedish Berries
5,Cereal,Corn flakes cereal
6,Chia seeds,Bulk Chia Seeds
7,Chips,Lay's Classic Chips
8,Chocolate,Hershey's Milk Chocolate Bar
9,Chocolate chips,Hershey's Semi-Sweet Chocolate Chips
10,Cookies,Oreo Cookies
11,Cornstarch,Kingsford's Cornstarch
12,Crackers,Ritz Crackers
13,Flour,Robin Hood All-Purpose Flour
14,Granola,Nature Valley Granola
15,Granola bars,Nature Valley Granola Bars
16,Gum,Excel Gum
17,Hot chocolate,Nestle Rich Chocolate Mix
18,Jam,Smucker's Strawberry Jam
19,Mac and cheese,Kraft Dinner
20,Milk,Milk
21,Misc,Bread loaf
22,Noodles,Mr. Noodles Instant Noodles
23,Oats,Quaker Oats
24,Pasta,Catelli Pasta
25,Pasta sauce,Classico Tomato Basil
26,Peanut butter,Kraft Peanut Butter
27,Rice,Uncle Ben's Converted Rice
28,Salsa,Old El Paso Salsa
29,Spices,Club House Spices
30,Spread,Nutella Hazelnut Spread
31,Vitamins,Jamieson Multivitamins
32,Bread,Dempster's White Bread
33,Hot dog buns,Wonder Hot Dog Buns
34,Cookies,Oreo Cookies
35,Chicken nuggets,Jane's Chicken Nuggets
36,English muffins,Dempster's English Muffins
37,Spring Rolls,Frozen Spring Rolls
38,Waffles,Eggo Waffles
39,Nuts,Planters Mixed Nuts
40,Hot dogs saussages,Maple Leaf Hot Dogs
41,Pizza crust,Pillsbury Pizza Crust
42,Marshmallows,Jet-Puffed Marshmallows
43,Cooking Oil,Crisco Vegetable Oil
44,Sugar,Redpath Granulated Sugar
45,Baked good,Store-Baked Muffins
47,Salad dressing,Kraft Ranch Dressing
48,Dates,Bulk Medjool Dates
49,Bagels,Dempster's Bagels
50,Soup,Campbell's Chicken Noodle Soup
51,Prepared meal (mac and cheese),Kraft Dinner Cups
52,Cupcake,Store-Baked Cupcakes
53,Pie,Frozen Apple Pie
54,Seasoned meat,Maple Leaf Seasoned Chicken
55,Tortillas wraps,Dempster's Tortillas
56,Poutine,Frozen Poutine
57,Ice cream,Chapman's Vanilla Ice Cream
58,Cold cuts deli meats,Maple Leaf Cold Cuts
59,Cake,Store-Baked Cake
60,Frozen Pizza,Dr. Oetker Ristorante Pizza
61,Tofu tempeh,Soyganic Tofu
62,Pogos,Pogo Corn Dogs
63,BBQ Sauce,Kraft BBQ Sauce
64,Beans,Heinz Baked Beans
65,Bouillon cubes,Knorr Chicken Bouillon
66,Candy,Maynards Swedish Berries
67,Cereal,Kellogg's Corn Flakes
68,Chia seeds,Bulk Chia Seeds
69,Chips,Lay's Classic Chips
70,Chocolate,Hershey's Milk Chocolate Bar
71,Chocolate chips,Hershey's Semi-Sweet Chocolate Chips
72,Cookies,Oreo Cookies
73,Cornstarch,Kingsford's Cornstarch
74,Crackers,Ritz Crackers
75,Flour,Robin Hood All-Purpose Flour
76,Granola,Nature Valley Granola
77,Granola bars,Nature Valley Granola Bars
78,Gum,Excel Gum
79,Hot chocolate,Nestle Rich Chocolate Mix
80,Jam,Smucker's Strawberry Jam
81,Mac and cheese,Kraft Dinner
82,Milk,Neilson 2% Milk
83,Misc,Generic Product
84,Noodles,Mr. Noodles Instant Noodles
85,Oats,Quaker Oats
86,Pasta,Catelli Pasta
87,Pasta sauce,Classico Tomato Basil
88,Peanut butter,Kraft Peanut Butter
89,Rice,Uncle Ben's Converted Rice
90,Salsa,Old El Paso Salsa
91,Spices,Club House Spices
92,Spread,Nutella Hazelnut Spread
93,Vitamins,Jamieson Multivitamins
94,Bread,Dempster's White Bread
95,Hot dog buns,Wonder Hot Dog Buns
96,Cookies,Oreo Cookies
97,Chicken nuggets,Jane's Chicken Nuggets
98,English muffins,Dempster's English Muffins
99,Spring Rolls,Frozen Spring Rolls
100,Waffles,Eggo Waffles
101,Nuts,Planters Mixed Nuts
102,Hot dogs saussages,Maple Leaf Hot Dogs
103,Pizza crust,Pillsbury Pizza Crust
104,Marshmallows,Jet-Puffed Marshmallows
105,Cooking Oil,Crisco Vegetable Oil
106,Sugar,Redpath Granulated Sugar
107,Baked good,Store-Baked Muffins
108,Iron supplement,Jamieson Iron Supplements
109,Quinoa,Bob's Red Mill Quinoa
